Indicador,Peso,Tipo
nome,0.0,
cpf,0.0,
dataNascimento,0.0,
paisNascimento,0.0,
nacionalidade,0.0,
filtro_anoInicio,0.0,
filtro_anoFim,0.0,
nomeCurriculo,0.0,
dataAtualizacaoCurriculo,0.0,
urlLattes,0.0,
urlDownloadXmlPdf,0.0,
producao_total,0.0,
producao_informacoesComplementares_total,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_total,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_exameQualificacaoDoutorado,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_doutorado,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_mestrado_total,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_mestrado_academico,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_graduacao,0.0,
producao_informacoesComplementares_orientacaoAndamento_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_iniciacaoCientifica,1.0,3
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_orientadorPrincipal_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_orientadorPrincipal_academico,0.0,
producao_informacoesComplementares_orientacaoAndamento_teseDoutorado_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_teseDoutorado_coOrientador,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_total,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_professorTitular,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_outra,0.0,
producao_informacoesComplementares_participacaoEventos_total,0.0,
producao_informacoesComplementares_participacaoEventos_encontro,0.0,
producao_informacoesComplementares_participacaoEventos_outra,0.0,
producao_producaoTecnica_total,0.0,
producao_producaoTecnica_programaRadioTv_total,0.0,
producao_producaoTecnica_programaRadioTv_entrevista,0.0,
producao_producaoTecnica_software_total,0.0,
producao_producaoTecnica_software_computacional,0.0,
producao_producaoTecnica_organizacaoEvento_total,0.0,
producao_producaoTecnica_organizacaoEvento_congresso,0.0,
producao_producaoTecnica_organizacaoEvento_outro,0.0,
producao_orientacaoConcluida_total,0.0,
producao_orientacaoConcluida_iniciacaoCientifica,2.0,3
producao_orientacaoConcluida_dissertacaoMestrado_total,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_coOrientador_total,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_coOrientador_academico,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_orientadorPrincipal_total,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_orientadorPrincipal_academico,0.0,
producao_orientacaoConcluida_teseDoutorado_total,0.0,
producao_orientacaoConcluida_teseDoutorado_coOrientador,0.0,
producao_orientacaoConcluida_teseDoutorado_orientadorPrincipal,0.0,
producao_orientacaoConcluida_monografiaConclusaoCursoAperfeicoamento,0.0,
producao_producaoBibliografica_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_internacional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_completo_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_completo_internacional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_regional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_nacional,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_total,3.0,2
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a1_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a1_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a1_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b3_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b3_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a3_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a3_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a4_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a4_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_semEstrato_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_semEstrato_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b1_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b1_outro,0.0,
producao_producaoBibliografica_livroCapituloLivro_total,0.0,
producao_producaoBibliografica_livroCapituloLivro_livroPublicado_total,0.0,
producao_producaoBibliografica_livroCapituloLivro_livroPublicado_textoIntegral,0.0,
projetos_total,0.0,
projetos_totalComoParticipanteSemFinanciamento,0.0,
projetos_alunosEnvolvidos_total,0.0,
projetos_alunosEnvolvidos_doutorado,0.0,
projetos_alunosEnvolvidos_graduacao,0.0,
projetos_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_totalComoCoordenadorSemFinanciamento,0.0,
projetos_totalComoCoordenadorComFinanciamento,0.0,
projetos_pesquisa_total,0.0,
projetos_pesquisa_totalComoParticipanteSemFinanciamento,0.0,
projetos_pesquisa_alunosEnvolvidos_total,0.0,
projetos_pesquisa_alunosEnvolvidos_doutorado,0.0,
projetos_pesquisa_alunosEnvolvidos_graduacao,0.0,
projetos_pesquisa_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_pesquisa_totalComoCoordenadorSemFinanciamento,0.0,
projetos_pesquisa_totalComoCoordenadorComFinanciamento,0.0,
projetos_pesquisa_concluido_total,0.0,
projetos_pesquisa_concluido_totalComoParticipanteSemFinanciamento,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_total,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_doutorado,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_pesquisa_concluido_totalComoCoordenadorSemFinanciamento,0.0,
projetos_pesquisa_concluido_totalComoCoordenadorComFinanciamento,0.0,
projetos_pesquisa_emAndamento_total,0.0,
projetos_pesquisa_emAndamento_totalComoParticipanteSemFinanciamento,0.0,
projetos_pesquisa_emAndamento_alunosEnvolvidos_total,0.0,
projetos_pesquisa_emAndamento_alunosEnvolvidos_doutorado,0.0,
projetos_pesquisa_emAndamento_alunosEnvolvidos_graduacao,0.0,
projetos_pesquisa_emAndamento_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_pesquisa_emAndamento_totalComoCoordenadorSemFinanciamento,0.0,
projetos_pesquisa_emAndamento_totalComoCoordenadorComFinanciamento,0.0,
projetos_outro_total,0.0,
projetos_outro_alunosEnvolvidos_total,0.0,
projetos_outro_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_outro_totalComoCoordenadorComFinanciamento,0.0,
projetos_outro_emAndamento_total,0.0,
projetos_outro_emAndamento_alunosEnvolvidos_total,0.0,
projetos_outro_emAndamento_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_outro_emAndamento_totalComoCoordenadorComFinanciamento,0.0,
formacaoAcademicaTitulacao_total,0.0,
formacaoAcademicaTitulacao_doutorado_total,0.0,
formacaoAcademicaTitulacao_doutorado_concluido,0.0,
formacaoAcademicaTitulacao_graduacao_total,0.0,
formacaoAcademicaTitulacao_graduacao_concluido,0.0,
formacaoAcademicaTitulacao_mestradoAcademico_total,0.0,
formacaoAcademicaTitulacao_mestradoAcademico_concluido,0.0,
formacaoComplementar_total,0.0,
formacaoComplementar_cursoCurtaDuracao_total,0.0,
formacaoComplementar_cursoCurtaDuracao_concluido,0.0,
posDoutoradoLivreDocencia_total,0.0,
posDoutoradoLivreDocencia_posDoutorado_total,0.0,
posDoutoradoLivreDocencia_posDoutorado_concluido,0.0,
nivelBolsista_total,5.0,1
nivelBolsista_pq_total,0.0,
nivelBolsista_pq_1d,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_exameQualificacaoMestrado,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_mestrado_naoInformado,0.0,
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_coOrientador_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_coOrientador_academico,0.0,
producao_informacoesComplementares_orientacaoAndamento_teseDoutorado_orientadorPrincipal,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_concursoPublico,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_avaliacaoCursos,0.0,
producao_informacoesComplementares_participacaoEventos_seminario,0.0,
producao_informacoesComplementares_participacaoEventos_oficina,0.0,
producao_informacoesComplementares_participacaoEventos_congresso,0.0,
producao_informacoesComplementares_participacaoEventos_simposio,0.0,
producao_producaoTecnica_software_naoInformado,0.0,
producao_producaoTecnica_apresentacaoTrabalho_total,0.0,
producao_producaoTecnica_apresentacaoTrabalho_comunicacao,0.0,
producao_producaoTecnica_apresentacaoTrabalho_congresso,0.0,
producao_producaoTecnica_apresentacaoTrabalho_conferenciaPalestra,0.0,
producao_producaoTecnica_trabalhosTecnicos_total,0.0,
producao_producaoTecnica_trabalhosTecnicos_consultoria,0.0,
producao_producaoTecnica_patentesRegistros_total,0.0,
producao_producaoTecnica_patentesRegistros_patente_total,0.0,
producao_producaoTecnica_patentesRegistros_patente_naoInformado,0.0,
producao_producaoTecnica_produtoTecnologico_total,0.0,
producao_producaoTecnica_produtoTecnologico_aparelho,0.0,
producao_producaoTecnica_produtoTecnologico_equipamento,0.0,
producao_producaoTecnica_editoracao_total,0.0,
producao_producaoTecnica_editoracao_anais,0.0,
producao_producaoTecnica_relatorioPesquisa,0.0,
producao_producaoTecnica_midiasSociaisWebsiteBlogs_total,0.0,
producao_producaoTecnica_midiasSociaisWebsiteBlogs_redeSocial,0.0,
producao_orientacaoConcluida_supervisaoPosDoutorado,0.0,
producao_orientacaoConcluida_trabalhoConclusaoCursoGraduacao,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_orientadorPrincipal_naoInformado,0.0,
producao_orientacaoConcluida_orientacaoOutraNatureza,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_regional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_nacional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_completo_regional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_completo_nacional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_completo_local,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_local,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_internacional,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b2_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b2_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a2_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a2_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a2_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b4_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b4_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_c_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_c_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_semEstrato_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b1_portugues,0.0,
producao_producaoBibliografica_livroCapituloLivro_capituloLivroPublicado,0.0,
producao_producaoBibliografica_livroCapituloLivro_organizacaoObraPublicada_total,0.0,
producao_producaoBibliografica_livroCapituloLivro_organizacaoObraPublicada_anais,0.0,
producao_producaoBibliografica_outra,0.0,
projetos_totalComoParticipanteComFinanciamento,0.0,
projetos_alunosEnvolvidos_mestradoProfissionalizante,0.0,
projetos_pesquisa_totalComoParticipanteComFinanciamento,0.0,
projetos_pesquisa_concluido_totalComoParticipanteComFinanciamento,0.0,
projetos_pesquisa_emAndamento_totalComoParticipanteComFinanciamento,0.0,
projetos_pesquisa_desativado_total,0.0,
projetos_pesquisa_desativado_totalComoParticipanteSemFinanciamento,0.0,
projetos_pesquisa_desativado_alunosEnvolvidos_total,0.0,
projetos_pesquisa_desativado_alunosEnvolvidos_graduacao,0.0,
projetos_extensao_total,0.0,
projetos_extensao_totalComoParticipanteComFinanciamento,0.0,
projetos_extensao_alunosEnvolvidos_total,0.0,
projetos_extensao_alunosEnvolvidos_mestradoProfissionalizante,0.0,
projetos_extensao_alunosEnvolvidos_graduacao,0.0,
projetos_extensao_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_extensao_totalComoCoordenadorSemFinanciamento,0.0,
projetos_extensao_totalComoCoordenadorComFinanciamento,0.0,
projetos_extensao_concluido_total,0.0,
projetos_extensao_concluido_totalComoParticipanteComFinanciamento,0.0,
projetos_extensao_concluido_alunosEnvolvidos_total,0.0,
projetos_extensao_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_extensao_concluido_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_extensao_concluido_totalComoCoordenadorSemFinanciamento,0.0,
projetos_extensao_emAndamento_total,0.0,
projetos_extensao_emAndamento_totalComoParticipanteComFinanciamento,0.0,
projetos_extensao_emAndamento_alunosEnvolvidos_total,0.0,
projetos_extensao_emAndamento_alunosEnvolvidos_mestradoProfissionalizante,0.0,
projetos_extensao_emAndamento_alunosEnvolvidos_graduacao,0.0,
projetos_extensao_emAndamento_totalComoCoordenadorComFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_total,0.0,
projetos_desenvolvimentoTecnologico_totalComoParticipanteComFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_alunosEnvolvidos_total,0.0,
projetos_desenvolvimentoTecnologico_alunosEnvolvidos_doutorado,0.0,
projetos_desenvolvimentoTecnologico_alunosEnvolvidos_graduacao,0.0,
projetos_desenvolvimentoTecnologico_totalComoCoordenadorSemFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_totalComoCoordenadorComFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_concluido_total,0.0,
projetos_desenvolvimentoTecnologico_concluido_totalComoParticipanteComFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_concluido_alunosEnvolvidos_total,0.0,
projetos_desenvolvimentoTecnologico_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_desenvolvimentoTecnologico_concluido_totalComoCoordenadorSemFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_concluido_totalComoCoordenadorComFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_total,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_totalComoParticipanteComFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_alunosEnvolvidos_total,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_alunosEnvolvidos_doutorado,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_totalComoCoordenadorComFinanciamento,0.0,
projetos_outro_totalComoParticipanteSemFinanciamento,0.0,
projetos_outro_totalComoParticipanteComFinanciamento,0.0,
projetos_outro_alunosEnvolvidos_graduacao,0.0,
projetos_outro_concluido_total,0.0,
projetos_outro_concluido_totalComoParticipanteSemFinanciamento,0.0,
projetos_outro_concluido_alunosEnvolvidos_total,0.0,
projetos_outro_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_outro_concluido_totalComoCoordenadorComFinanciamento,0.0,
projetos_outro_emAndamento_totalComoParticipanteComFinanciamento,0.0,
projetos_ensino_total,0.0,
projetos_ensino_alunosEnvolvidos_total,0.0,
projetos_ensino_alunosEnvolvidos_graduacao,0.0,
projetos_ensino_totalComoCoordenadorSemFinanciamento,0.0,
projetos_ensino_concluido_total,0.0,
projetos_ensino_concluido_alunosEnvolvidos_total,0.0,
projetos_ensino_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_ensino_concluido_totalComoCoordenadorSemFinanciamento,0.0,
formacaoAcademicaTitulacao_cursoTecnicoProfissionalizante_total,0.0,
formacaoAcademicaTitulacao_cursoTecnicoProfissionalizante_concluido,0.0,
formacaoAcademicaTitulacao_ensinoMedioSegundoGrau_total,0.0,
formacaoAcademicaTitulacao_ensinoMedioSegundoGrau_concluido,0.0,
formacaoAcademicaTitulacao_ensinoFundamentalPrimeiroGrau_total,0.0,
formacaoAcademicaTitulacao_ensinoFundamentalPrimeiroGrau_concluido,0.0,
formacaoComplementar_extensaoUniversitaria_total,0.0,
formacaoComplementar_extensaoUniversitaria_concluido,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_cursoEspecializacao,0.0,
producao_informacoesComplementares_orientacaoAndamento_supervisaoPosDoutorado,0.0,
producao_informacoesComplementares_orientacaoAndamento_trabalhoConclusaoCursoGraduacao,0.0,
producao_producaoTecnica_cursoCurtaDuracaoMinistrado_total,0.0,
producao_producaoTecnica_cursoCurtaDuracaoMinistrado_extensao,0.0,
producao_producaoTecnica_trabalhosTecnicos_elaboracaoProjeto,0.0,
producao_producaoTecnica_trabalhosTecnicos_parecer,0.0,
producao_producaoTecnica_trabalhosTecnicos_assessoria,0.0,
producao_producaoTecnica_trabalhosTecnicos_outra,0.0,
producao_producaoTecnica_desenvolvimentoMaterialDidadicoInstrucional,0.0,
producao_producaoTecnica_midiasSociaisWebsiteBlogs_blog,0.0,
producao_producaoTecnica_outra,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_local,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b2_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b3_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a3_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b4_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a4_portugues,0.0,
producao_producaoArtisticaCultural_total,2.0,2
producao_producaoArtisticaCultural_outra,0.0,
projetos_alunosEnvolvidos_especializacao,0.0,
projetos_pesquisa_alunosEnvolvidos_especializacao,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_especializacao,0.0,
projetos_desenvolvimentoTecnologico_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_desenvolvimentoTecnologico_concluido_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_outro_totalComoCoordenadorSemFinanciamento,0.0,
projetos_outro_emAndamento_totalComoCoordenadorSemFinanciamento,0.0,
formacaoComplementar_outros_total,0.0,
formacaoComplementar_outros_concluido,0.0,
nivelBolsista_pq_1c,0.0,
